Year,Predicted CO2 Emissions (kt),Country
2022,24919.73489102131,Lebanon
2023,23794.58185412921,Lebanon
2024,22709.844702697526,Lebanon
2025,21424.518385121024,Lebanon
2026,20084.66140769021,Lebanon
2027,18744.80443025939,Lebanon
2028,17406.469798126884,Lebanon
2029,16092.953204376347,Lebanon
2030,14816.619255409925,Lebanon
2031,13540.285306443497,Lebanon
2032,12263.951357477075,Lebanon
2033,10987.617408510676,Lebanon
2034,9711.283459544255,Lebanon
2035,8574.279434923956,Lebanon
2036,7468.760689793482,Lebanon
2037,6363.241944662994,Lebanon
2038,5261.535997937099,Lebanon
2039,4332.501771495081,Lebanon
2040,3467.771921020554,Lebanon
2020,94531.12214135444,United Arab Emirates
2021,98168.54627410733,United Arab Emirates
2022,102897.15987778868,United Arab Emirates
2023,107917.32934615665,United Arab Emirates
2024,113067.23143389623,United Arab Emirates
2025,118281.5206001208,United Arab Emirates
2026,123495.80976634537,United Arab Emirates
2027,128542.5170511682,United Arab Emirates
2028,133178.689174682,United Arab Emirates
2029,137669.2234579268,United Arab Emirates
2030,141987.03152872948,United Arab Emirates
2031,146009.79909500256,United Arab Emirates
2032,149933.2132991363,United Arab Emirates
2033,153989.36562509753,United Arab Emirates
2034,158120.8018320013,United Arab Emirates
2035,162252.5231236573,United Arab Emirates
2036,166609.78900454918,United Arab Emirates
2037,171111.72015209898,United Arab Emirates
2038,175630.21826416068,United Arab Emirates
2039,180185.1262708051,United Arab Emirates
2040,184789.1520350829,United Arab Emirates
2020,55018.7162023374,Kuwait
2021,56691.70115787458,Kuwait
2022,58721.001670425074,Kuwait
2023,61021.32275212262,Kuwait
2024,63477.43093191405,Kuwait
2025,66438.79478881022,Kuwait
2026,69076.24074236045,Kuwait
2027,71233.39688343681,Kuwait
2028,73382.18575150186,Kuwait
2029,75368.86867001072,Kuwait
2030,77203.0015521955,Kuwait
2031,78981.2991119641,Kuwait
2032,80676.01146778988,Kuwait
2033,82337.74701608098,Kuwait
2034,83969.73608706091,Kuwait
2035,85591.53922378177,Kuwait
2036,87077.03054044483,Kuwait
2037,88482.7642155561,Kuwait
2038,89888.49789066736,Kuwait
2039,91294.23156577864,Kuwait
2040,92706.85880867479,Kuwait
2020,26373.328589279154,Oman
2021,28380.939993597567,Oman
2022,30447.804591560656,Oman
2023,32521.00411600212,Oman
2024,34782.8191902814,Oman
2025,37172.85223028097,Oman
2026,39910.52485510974,Oman
2027,42649.898050422446,Oman
2028,45392.252932637115,Oman
2029,48180.52667411494,Oman
2030,50985.51025898221,Oman
2031,53799.74838776824,Oman
2032,56606.110858468724,Oman
2033,59367.056763777255,Oman
2034,62128.81651801063,Oman
2035,64854.47460885697,Oman
2036,67344.17477324633,Oman
2037,69485.73238340634,Oman
2038,71595.48190041535,Oman
2039,73463.34912267845,Oman
2040,75114.62161687609,Oman
2020,31111.522784480905,Qatar
2021,32796.800763133724,Qatar
2022,34846.57663280551,Qatar
2023,37705.76789402453,Qatar
2024,40743.391721890344,Qatar
2025,43948.79362947216,Qatar
2026,47678.436239875104,Qatar
2027,51424.05096487867,Qatar
2028,55169.66568988225,Qatar
2029,58915.28041488583,Qatar
2030,62660.8951398894,Qatar
2031,66334.7649035727,Qatar
2032,69975.57982769038,Qatar
2033,73616.39475180805,Qatar
2034,77257.20967592575,Qatar
2035,80869.53889734307,Qatar
2036,84066.66093239335,Qatar
2037,86897.06295033242,Qatar
2038,89481.30311506081,Qatar
2039,92039.30451839665,Qatar
2040,94597.30592173249,Qatar
